bundesland,jahr,kirchensteuer,region
Baden-Württemberg,2025,8,west
Bayern,2025,8,west
Berlin,2025,9,ost
Brandenburg,2025,9,ost
Bremen,2025,9,west
Hamburg,2025,9,west
Hessen,2025,9,west
Mecklenburg-Vorpommern,2025,9,ost
Niedersachsen,2025,9,west
Nordrhein-Westfalen,2025,9,west
Rheinland-Pfalz,2025,9,west
Saarland,2025,9,west
Sachsen,2025,9,ost
Sachsen-Anhalt,2025,9,ost
Schleswig-Holstein,2025,9,west
Thüringen,2025,9,ost
Baden-Württemberg,2026,8,west
Bayern,2026,8,west
Berlin,2026,9,ost
Brandenburg,2026,9,ost
Bremen,2026,9,west
Hamburg,2026,9,west
Hessen,2026,9,west
Mecklenburg-Vorpommern,2026,9,ost
Niedersachsen,2026,9,west
Nordrhein-Westfalen,2026,9,west
Rheinland-Pfalz,2026,9,west
Saarland,2026,9,west
Sachsen,2026,9,ost
Sachsen-Anhalt,2026,9,ost
Schleswig-Holstein,2026,9,west
Thüringen,2026,9,ost
