typ,jahr,wert,quelle,beschreibung
krankenversicherung_basis,2025,14.6,§241 SGB V,KV Gesamtbeitragssatz
rentenversicherung,2025,18.6,§158 SGB VI,RV Gesamtbeitragssatz
arbeitslosenversicherung,2025,2.6,§341 Abs. 2 SGB III,AV Gesamtbeitragssatz
pflegeversicherung_basis,2025,3.6,§55 Abs. 1 SGB XI,PV Gesamtbeitragssatz
pflegeversicherung_zuschlag_kinderlos,2025,0.6,§55 Abs. 3 SGB XI,PV Aufschlag Kinderlose >23 Jahre
pflegeversicherung_abschlag_pro_kind,2025,0.25,§55 Abs. 3 SGB XI,PV Abschlag je Kind ab 2. Kind
bbg_kranken_pflege,2025,5512.50,§223 SGB V,BBG KV und PV (bundeseinheitlich) EUR/Monat
bbg_renten_arbeitslosen,2025,8050.00,§159 SGB VI,BBG RV und AV West EUR/Monat
krankenversicherung_basis,2026,14.6,§241 SGB V,KV Gesamtbeitragssatz
rentenversicherung,2026,18.6,§158 SGB VI,RV Gesamtbeitragssatz
arbeitslosenversicherung,2026,2.6,§341 Abs. 2 SGB III,AV Gesamtbeitragssatz
pflegeversicherung_basis,2026,3.6,§55 Abs. 1 SGB XI,PV Gesamtbeitragssatz
pflegeversicherung_zuschlag_kinderlos,2026,0.6,§55 Abs. 3 SGB XI,PV Aufschlag Kinderlose >23 Jahre
pflegeversicherung_abschlag_pro_kind,2026,0.25,§55 Abs. 3 SGB XI,PV Abschlag je Kind ab 2. Kind
bbg_kranken_pflege,2026,5812.50,§223 SGB V,BBG KV und PV (bundeseinheitlich) EUR/Monat
bbg_renten_arbeitslosen,2026,8450.00,§159 SGB VI,BBG RV und AV West EUR/Monat
